Location,Organisation,Fellow,Organisation Description,Link to Partner Website,Start Date,Finish Date,Bio for New Site,Photo URL
,BAI,,UN Cholera case was among the latest ones. We have a blog on that.,,,,"
",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e82eae4b04b8ff8dd84be/1436451800004/?format=1500w&storage=local
Haiti,,Johnson Jean-Pierre,,,04/01/2013,10/01/2015,"JOHNSON JEAN-PIERRE
Originally from Marigot in the Sud-Est Department in Haiti, Johnson Jean-Pierre undertook his studies in Judicial Sciences at the Jacmel School of Law (the State University of Haiti – UEH). Thanks to the BAI’s “Atélier de Mémoire” or Memory Workshop program in November 2013, he was able to support his dissertation in order to obtain his legal degree. He centered his piece around the subject of “The Haitian Political Power in regards to the 29 March 1987 Constitution: Illusion and Friction,” where he was able to pick out the “dependence and the subordination that exists within Haitian political power.” Currently, Johnson Jean-Pierre has been admitted to the Port-au-Prince bar as a legal apprentice.",
Haiti,,Job Gené,,,10/01/2014,10/01/2016,"JOB GENÉ: 
Job was born in Boucan Carré, in the Central Plateau of Haiti. He studied law at the University of Gonaives. He wrote his dissertation on the foundation of Haitian criminal law and its current application. Job has been interested in the pursuit of justice from an early age, as he saw many people in his community had difficult obtaining access to justice. He enjoys working at BAI because it is one of the few legal organizations which works to correct access to justice problems in Haiti. 

",
Haiti,,Jean Bernard Mondesir,,,02/01/2015,02/01/2017,"JEAN BERNARD MONDESIR: Jean Bernard Mondesir began working for BAI in its new Civic Engagement Program in November 2014 and became a Bertha Fellow in February 2015. He was born in the Little River of the Artibonite, and has grown up in nearby La Chappelle. He attended the State University of the Haiti Law School in Gonaives. Jean Bernard is committed to advancing the human rights of his hometown. In the Civic Engagement Program, he supervises the community work and meetings in La Chappelle. He wrote his thesis on civil society and legal frameworks for improving the human rights situation of the Little River of the Artibonite community. Jean Bernard is happy to serve his community through his work at BAI. 

",
Haiti,,Jhimmy Surin,,,02/01/2015,02/01/2017,"JHIMMY SURIN: Jhimmy Surin joined BAI as a Bertha Fellow in February 2015. He was born and raised in Delmas, Port-au-Prince. He attended the State University of Haiti Law School in Gonaives. Jhimmy recently finished his thesis on the right to housing, which used international and national law to examine the right to housing for children living in urban areas in Port-au-Prince. Jhimmy enjoys working at the BAI because it gives him the opportunity to defend human rights in Haiti, and because of the closeness he shares with his colleagues. Jhimmy feels fully integrated at BAI and considers it to be ""like a family.""",
Haiti,,Wanique Junior Umene,,,02/01/2015,02/01/2017,,
,CALS,,"Business and HR, environment, domestic violence. Research and legal aid.",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e8417e4b00c7c146929e2/1436451931139/?format=1500w&storage=local
"Johannesburg, South Africa",,Wandisa Phama,,,01/01/2014,31/12/2015,"WANDISA PHAMA
Wandisa is a Candidate Attorney at the Centre for Applied Legal Studies. Wandisa hails from Sterkspruit, a small town in the Eastern Cape, South Africa. She matriculated in 2006, and obtained her LLB from the University of Cape Town in 2011. In her final year of her LLB studies, she registered for a course with the UCT Law Clinic where she handled legal matters for clients and obtained practical legal skill as a student. In 2011 Wandisa was involved with the Constitutional Literacy and Service Initiative Programme where she was involved in teaching constitutional literacy to high school leaners in Luhlaza, Khayelitsha. Wandisa is currently studying towards her LLM in Social Justice at UCT. In 2012, Wandisa worked as an Assistant Researcher at the Law, Race and Gender Unit at UCT. In the same year she worked as a Legal Intern at the South Human Rights Commission. Wandisa has served as an Ad hoc Refugee Status Determination Officer in a special project for the UNHCR at the UCT Refugee Rights Project where she gained experience on refugee related matters. In 2013, Wandisa worked at the Equal Education Law Centre in Cape Town.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d36f8e4b01e76798df96a/1436366757558/?format=750w&storage=local
"Johannesburg, South Africa",,Palesa Madi,,,01/01/2014,31/12/2015,"PALESA MADI
Palesa Madi is a candidate attorney at the Centre for Applied Legal Studies. She was raised in a small township called Mohlakeng, on the West Rand of Johannesburg, South Africa. She completed her schooling at Randfontein High School in 2008. While studying towards an LLB at Wits University between 2009 and 2012, she became a member of the Wits Volunteer Programme and founding member and Chairperson of the Wits Chapter of Students for Law and Social Justice. In 2013 Palesa interned at both Amnesty International, South Africa and the Centre for Applied Legal Studies at Wits.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d37e5e4b0b05c51644e03/1436366873562/?format=750w&storage=local
"Johannesburg, South Africa",,Ayabonga Nase,,,01/01/2015,31/12/2016,"AYABONGA NASE
Ayabonga Nase is a recent graduate from the University of Fort Hare in the Eastern Cape. During apartheid, Fort Hare was one of the only universities in South Africa catering for black students and has a strong tradition of graduating human rights lawyers, including Nelson Mandela and Oliver Tambo. Ayabonga has continued in this vein of activism and has been involved with both the Nelson Mandela Institute for Education and Rural Development and the South African Constitutional Literacy and Service Initiative. He is a passionate, vibrant and humble young man who will bring a new and valuable kind of diversity to CALS.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d386ee4b0480839fa4d8c/1436367976480/?format=1000w&storage=local
"Johannesburg, South Africa",,Baone Twala,,,01/01/2015,31/12/2016,"BAONE TWALA
Baone Twala has completed her BA and LLB degrees at the University of the Witwatersrand, Johannesburg. She is an exceptional young woman with a real gift for deliberate and intentional living. She is measured and open-minded, and has demonstrated clear leadership abilities. Baone was elected to head the Wits Chapter of Students for Law and Social Justice in only its second year of existence and played a critical role in steering this organisation through its infancy. Baone shows considerable promise as a lawyer and has precisely the combination of skills and passion which indicate a rising star in social justice.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d38f4e4b0b5cbd2bf324d/1436367976475/?format=750w&storage=local
,CCAJAR,,,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e8493e4b0fc2216549421/1436452005054/?format=750w&storage=local
Columbia,,Leonardo Pacheco García,,,,,"LEONARDO PACHECO GARCIA: Leonardo Pacheco García is a human rights attorney and graduate of National University of Colombia. He is currently preparing to begin his graduate studies on land rights. 
Leonardo has been a legal assistant at Jose Alvear Restrepo Law Collective (CCAJAR), for about two years. During this period he accompanied case litigation cases seeking reparation for victims.
Subsequently he worked at the Nacional Indigenous Organization of Colombia (ONIC), where he had the opportunity to work with communities in the north of Choco. He worked closely with indigenous people to advocate in the defence of territory and residents’ rights to health care, education and community protection. 
Leonardo currently works on criminal case litigation in efforts to identify the intellectual authors of human rights violations and hold these subjects responsible.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d3b1fe4b0a65ec393eb45/1436367976482/?format=750w&storage=local
Columbia,,Moisés David Meza,,,,,"MOISES DAVID MEZA: Moisés David Meza is a human rights lawyer with a law degree from the Department of Jurisprudence at Universidad del Rosario, and advanced studies in Constitutional Law at the Universidad Nacional. 
At the Jose Alvear Restrepo Law Collective (CCAJAR), he specializes in the areas of administrative law and reparation, pursuing fair and just redress for victims of the Colombian conflict. During his studies, he worked in the defence and promotion of collective rights, on efforts to include access to basic public services and environmental rights at the Group of Public Actions. He also worked at the Constitutional Court where he reviewed actions concerning fundamental rights. 

Moisés strongly believes in the effectiveness of a legal system that can combine the rights of minorities, transitional law, and legal philosophy with academic areas such as sociology and history.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d3c7ce4b051afefa51de5/1436368046521/?format=750w&storage=local
,CCR,,Civil rights,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e84d1e4b06b2dffd0ade0/1436452057322/?format=2500w&storage=local
NYC,,Zachery Morris,,,01/09/2014,01/09/2016,"ZACHERY MORRIS
Zachery Morris is the Bertha Fellow for the International Human Rights Docket at the Center for Constitutional Rights (CCR). Zachery earned his law degree from Stanford Law School in 2014. While attending law school, Zachery investigated international and domestic human rights abuses through Stanford’s International Human Rights and Conflict Resolution Clinic. He worked as an Ella Baker Intern at CCR, and interned with Human Rights Watch's Business and Human Rights Division and its US Program. Prior to law school, Zachery graduated from Stanford University in 2011 with a bachelor's degree in philosophy.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d3d60e4b0ff7423bb20fc/1436368281363/Zachery+Morris.jpg?format=1000w&storage=local
NYC,,Somalia Samuel,,,01/09/2014,01/09/2016,"SOMALIA SAMUEL
Somalia Samuel is a Bertha Fellow in CCR’s Government Misconduct/Racial Justice docket. Somalia earned her J.D. from CUNY School of Law, where she served as Vice President of the Black Law Students Association; a moot court team member; and an editorial staff member on CUNY Law Review. Somalia interned at the Neighborhood Defender Service of Harlem (NDS), where she worked alongside seasoned public defenders to provide holistic defense to indigent persons accused of crimes. As a component of her clinical experience, Somalia represented indigent clients charged with misdemeanors in Queens Criminal Court through the Criminal Defense Clinic, led by Professor Steve Zeidman. Somalia was a Thurgood Marshall Fellow at the New York City Bar Association, serving on the Committee on Civil Rights and working in the City Bar Justice Center’s Bankruptcy project and Immigrant Women and Children project, where she assisted clients with complex immigration issues. Somalia was the recipient of the Luis Sanjurjo Memorial Scholarship, which is awarded to a student who will use their law degree “to advance the interests of civil rights and human rights.”

Prior to attending law school, Somalia earned her B.A. in Humanities in Justice Studies from John Jay College of Criminal Justice, where she was awarded the Undergraduate Research Incentive Scholarship for her senior thesis—a historical and philosophical critique of the Thirteenth Amendment’s slavery proviso and its impact on prison slavery.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d3e45e4b0e849e26a3176/1436380665829/?format=1000w&storage=local
